                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3344,                 2.6236,                  1.546,                 0.7498,                0.31119,                 0.4977,                 0.3208,                 1.2516,                 2.3033,                 1.3906,             0.00036192,             0.00036192,             0.00036192
                      2,                 1.2135,                 1.5598,                 1.4508,                0.72281,                 0.6226,                0.69154,                0.41767,                 1.3234,                 1.6613,                   1.45,               0.000725,               0.000725,               0.000725
                      3,                 1.2189,                 1.4161,                 1.3963,                0.58035,                0.74514,                0.71609,                0.41905,                 1.3298,                 1.4826,                 1.4696,              0.0010808,              0.0010808,              0.0010808
                      4,                 1.2124,                 1.3305,                 1.4024,                0.64078,                0.67763,                0.71177,                0.42985,                 1.2424,                 1.7786,                 1.3984,               0.001078,               0.001078,               0.001078
                      5,                 1.1847,                 1.2313,                 1.3605,                0.69569,                0.75094,                0.77622,                0.47474,                 1.2535,                 1.2668,                   1.37,               0.001078,               0.001078,               0.001078
                      6,                 1.1444,                 1.1545,                 1.3204,                  0.697,                0.72067,                0.75591,                0.48063,                 1.2691,                 1.1593,                 1.3661,               0.001067,               0.001067,               0.001067
                      7,                 1.1462,                 1.1143,                 1.3247,                0.72094,                0.78729,                0.80219,                0.50348,                 1.1943,                 1.0821,                 1.3029,               0.001056,               0.001056,               0.001056
                      8,                 1.1159,                 1.0492,                 1.2915,                0.88691,                0.69539,                0.81029,                0.50133,                 1.1969,                 1.0471,                 1.2933,               0.001045,               0.001045,               0.001045
                      9,                 1.0938,                 1.0035,                 1.2826,                0.71772,                0.84261,                0.83564,                0.53428,                 1.1377,                0.91195,                 1.2412,               0.001034,               0.001034,               0.001034
                     10,                 1.0944,                 0.9758,                 1.2818,                0.75605,                0.80843,                 0.8308,                0.51748,                  1.173,                 0.9474,                 1.3141,               0.001023,               0.001023,               0.001023
                     11,                  1.125,                0.95452,                 1.3114,                0.66465,                0.84143,                0.84115,                0.52832,                 1.1519,                0.96333,                 1.2614,               0.001012,               0.001012,               0.001012
                     12,                 1.0809,                 0.9273,                 1.2819,                0.68251,                0.82621,                0.80503,                0.47974,                 1.2265,                0.93946,                  1.302,               0.001001,               0.001001,               0.001001
                     13,                 1.0746,                0.89606,                 1.2572,                0.68913,                0.86005,                0.84026,                0.54169,                 1.1385,                0.89275,                 1.2528,             0.00099001,             0.00099001,             0.00099001
                     14,                 1.0688,                0.90799,                  1.276,                0.78395,                 0.7868,                0.80961,                 0.5151,                 1.1543,                0.88216,                  1.259,             0.00097901,             0.00097901,             0.00097901
                     15,                 1.0424,                0.86969,                 1.2524,                0.72307,                0.79254,                0.80326,                0.52894,                 1.1118,                0.81937,                 1.2278,             0.00096801,             0.00096801,             0.00096801
                     16,                 1.0468,                0.85253,                 1.2507,                0.76599,                 0.8631,                0.86607,                0.54886,                 1.1314,                0.76621,                  1.248,             0.00095702,             0.00095702,             0.00095702
                     17,                 1.0514,                0.84272,                 1.2556,                0.80533,                0.82783,                 0.8474,                0.55745,                 1.0936,                0.73469,                 1.2105,             0.00094602,             0.00094602,             0.00094602
