                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6251,                 2.4945,                 1.3242,                0.02194,                0.09926,                0.00877,                  0.004,                  2.873,                    inf,                 1.4846,             0.00055208,             0.00055208,             0.00055208
                      2,                 2.5934,                 2.1285,                 1.3117,                0.46169,                0.38106,                0.26356,                0.11178,                 2.1191,                 1.8827,                 1.1192,              0.0010858,              0.0010858,              0.0010858
                      3,                 2.5672,                 2.1123,                 1.2975,                0.41531,                0.55346,                0.45145,                0.19716,                 2.0685,                 1.7089,                 1.0818,              0.0015975,              0.0015975,              0.0015975
                      4,                 2.5498,                 2.0768,                 1.2691,                0.36053,                0.41937,                0.38428,                0.17623,                 1.9506,                 1.7177,                  1.067,               0.001568,               0.001568,               0.001568
                      5,                   2.48,                 2.0319,                 1.2631,                0.32862,                0.52903,                0.44649,                0.20437,                 2.0017,                 1.6713,                 1.0685,               0.001535,               0.001535,               0.001535
                      6,                 2.4823,                 2.0336,                 1.2362,                0.37202,                0.46057,                0.36203,                0.15417,                 2.0559,                 1.7607,                 1.0823,               0.001502,               0.001502,               0.001502
                      7,                 2.4322,                 1.9849,                 1.2224,                0.43115,                0.42419,                0.38889,                0.18242,                 1.9111,                 1.6246,                 1.0419,               0.001469,               0.001469,               0.001469
                      8,                 2.4232,                 1.9628,                 1.2217,                0.41029,                0.55525,                0.45637,                0.22214,                 1.9597,                  1.616,                 1.0519,               0.001436,               0.001436,               0.001436
                      9,                 2.3871,                 1.9305,                 1.2141,                0.56131,                 0.5411,                0.53489,                0.26551,                 1.8884,                 1.5058,                  1.033,              0.0014029,              0.0014029,              0.0014029
                     10,                 2.3666,                 1.9059,                 1.2084,                0.44991,                0.57396,                0.48232,                0.25111,                 1.8467,                 1.5661,                 1.0324,              0.0013699,              0.0013699,              0.0013699
                     11,                 2.3668,                 1.9054,                 1.2053,                0.55258,                0.56247,                0.55422,                0.27806,                 1.8559,                  1.514,                  1.033,              0.0013369,              0.0013369,              0.0013369
                     12,                 2.3481,                 1.8663,                 1.1875,                0.40556,                0.58986,                0.55881,                0.29886,                   1.82,                 1.5163,                 1.0192,              0.0013039,              0.0013039,              0.0013039
                     13,                 2.3327,                 1.8602,                 1.1764,                0.55944,                0.54869,                0.52292,                0.28103,                 1.7249,                 1.4029,                0.99672,              0.0012709,              0.0012709,              0.0012709
                     14,                  2.311,                 1.8545,                 1.1949,                0.46733,                0.62656,                0.53498,                0.29574,                 1.7698,                 1.4603,                  1.004,              0.0012379,              0.0012379,              0.0012379
                     15,                 2.2909,                 1.8105,                 1.1692,                0.46285,                0.61936,                0.48935,                0.25446,                 1.8665,                  1.445,                 1.0332,              0.0012049,              0.0012049,              0.0012049
                     16,                 2.2626,                 1.7614,                 1.1621,                0.58043,                0.51477,                0.47842,                0.22584,                 1.9177,                 1.4963,                 1.0456,              0.0011719,              0.0011719,              0.0011719
                     17,                 2.2539,                 1.7436,                 1.1603,                0.49992,                0.57932,                 0.5184,                0.26718,                 1.6816,                 1.3979,                0.98976,              0.0011389,              0.0011389,              0.0011389
                     18,                 2.2119,                 1.7063,                 1.1551,                0.55581,                0.64071,                0.61114,                0.32874,                 1.7615,                 1.3759,                0.99925,              0.0011059,              0.0011059,              0.0011059
                     19,                 2.1759,                 1.6536,                  1.146,                0.62868,                0.66772,                0.66585,                0.33221,                 1.7733,                 1.3035,                 0.9976,              0.0010729,              0.0010729,              0.0010729
                     20,                 2.1619,                 1.6251,                 1.1257,                0.55137,                0.67742,                0.55783,                0.26034,                 1.8119,                  1.297,                0.99424,              0.0010399,              0.0010399,              0.0010399
                     21,                 2.1595,                 1.5849,                 1.1329,                0.60739,                0.59258,                0.60433,                0.28783,                 1.9601,                 1.3856,                 1.0304,              0.0010069,              0.0010069,              0.0010069
                     22,                 2.1231,                 1.5556,                 1.1276,                0.57854,                0.63404,                0.66553,                0.35525,                 1.6924,                 1.4256,                0.98119,             0.00097386,             0.00097386,             0.00097386
                     23,                 2.0862,                 1.5105,                 1.1117,                0.56753,                0.67744,                0.63813,                0.33465,                 1.6879,                 1.2186,                0.96966,             0.00094085,             0.00094085,             0.00094085
                     24,                 2.0566,                 1.4804,                 1.0978,                0.64111,                0.67361,                0.67072,                0.35493,                 1.6027,                 1.1974,                0.96787,             0.00090785,             0.00090785,             0.00090785
                     25,                 2.0371,                 1.4312,                 1.1038,                0.64357,                0.65049,                0.65714,                0.32462,                 1.6995,                 1.2136,                0.98284,             0.00087484,             0.00087484,             0.00087484
                     26,                 2.0242,                 1.4173,                  1.084,                0.61177,                0.73069,                0.68894,                0.39506,                  1.636,                 1.1807,                0.96506,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.9963,                 1.3944,                 1.0859,                0.59941,                0.72686,                0.66614,                0.35186,                 1.6805,                 1.2411,                 0.9791,             0.00080883,             0.00080883,             0.00080883
                     28,                 1.9717,                 1.3646,                 1.0686,                0.60981,                0.62483,                0.61382,                0.31661,                 1.6573,                 1.2358,                0.97372,             0.00077582,             0.00077582,             0.00077582
                     29,                 1.9454,                 1.3273,                 1.0642,                0.62111,                0.69939,                0.69321,                0.38455,                 1.6288,                 1.1936,                0.96807,             0.00074282,             0.00074282,             0.00074282
                     30,                 1.9309,                 1.3014,                 1.0675,                0.64367,                 0.6857,                0.69232,                0.39499,                 1.5086,                 1.1102,                0.94436,             0.00070981,             0.00070981,             0.00070981
                     31,                 1.9086,                 1.2738,                 1.0534,                0.58654,                0.72123,                0.67037,                0.38284,                 1.5562,                 1.1538,                0.94968,              0.0006768,              0.0006768,              0.0006768
                     32,                 1.8977,                 1.2651,                 1.0634,                0.58864,                0.72511,                0.67636,                0.35954,                 1.6408,                  1.166,                0.97321,              0.0006438,              0.0006438,              0.0006438
                     33,                 1.8731,                 1.2522,                 1.0497,                0.64222,                0.61729,                0.63343,                0.30006,                   1.78,                 1.2446,                0.99829,             0.00061079,             0.00061079,             0.00061079
                     34,                 1.8665,                 1.2299,                 1.0547,                0.63531,                0.67081,                0.66544,                0.37178,                 1.6182,                 1.1932,                0.96134,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.8371,                 1.2001,                 1.0348,                0.61237,                0.69429,                0.66867,                0.31431,                 1.8068,                 1.2347,                 1.0024,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.8228,                 1.1911,                 1.0396,                0.62734,                0.62076,                0.64899,                0.34878,                  1.705,                 1.2085,                0.98984,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.8068,                 1.1746,                 1.0324,                0.66288,                0.60276,                0.66995,                0.34971,                 1.6974,                 1.2071,                0.98768,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.8085,                 1.1735,                  1.035,                 0.6871,                 0.6938,                 0.7182,                0.39098,                 1.6043,                 1.0655,                0.96002,             0.00044576,             0.00044576,             0.00044576
                     39,                  1.771,                 1.1463,                 1.0295,                0.64778,                0.66041,                0.63976,                 0.3414,                 1.6589,                 1.1489,                0.98047,             0.00041275,             0.00041275,             0.00041275
                     40,                  1.763,                 1.1423,                 1.0187,                0.66467,                0.67177,                0.72385,                0.36723,                 1.6943,                  1.156,                0.97189,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.7091,                 1.0928,                 1.0447,                0.69329,                0.67118,                0.70187,                0.38556,                 1.5802,                  1.096,                0.94808,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.6597,                 1.0477,                 1.0246,                0.68539,                0.61257,                0.66264,                0.37233,                 1.6373,                 1.1432,                0.97089,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.6489,                 1.0401,                 1.0291,                0.74002,                0.60376,                0.69515,                0.35807,                 1.7972,                 1.1061,                0.98417,             0.00028072,             0.00028072,             0.00028072
                     44,                 1.6297,                  1.034,                 1.0256,                0.62676,                0.76322,                0.71605,                0.39968,                 1.5559,                 1.0797,                0.95092,             0.00024772,             0.00024772,             0.00024772
                     45,                 1.5916,                 1.0086,                 1.0015,                0.64026,                0.72936,                0.72296,                0.41009,                 1.5373,                 1.0851,                0.94063,             0.00021471,             0.00021471,             0.00021471
                     46,                 1.5934,                 1.0028,                 1.0114,                 0.6226,                 0.6353,                0.65303,                0.35958,                 1.5811,                 1.1434,                 0.9605,              0.0001817,              0.0001817,              0.0001817
                     47,                 1.5487,                0.97593,                 1.0016,                0.67706,                0.63227,                0.69743,                 0.3846,                 1.6166,                 1.1124,                0.96581,              0.0001487,              0.0001487,              0.0001487
                     48,                 1.5441,                0.96661,                0.99384,                0.69953,                0.61215,                0.68255,                0.34236,                  1.691,                 1.1532,                0.97244,             0.00011569,             0.00011569,             0.00011569
                     49,                 1.5236,                0.94453,                0.99334,                 0.6903,                0.66263,                0.69947,                0.38883,                 1.5942,                 1.1096,                0.95328,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                 1.5208,                0.95364,                0.98827,                0.64144,                0.68418,                 0.7014,                0.38821,                 1.6095,                 1.0984,                0.95488,             4.9677e-05,             4.9677e-05,             4.9677e-05
